Month,Ad Group,Device,Impressions,Clicks,CTR,CPC,Conv Rate,Conversions,Cost,Revenue,Sale Amount,P&L
2025-07,Brand Search,Mobile,42968,1757,0.0409,0.81,0.0234,41,1423.17,2685.15,64.42,1261.98
2025-07,Non-Brand Search,Mobile,22739,199,0.0088,0.76,0.015,2,151.24,124.12,60.8,-27.12
2025-07,Prospecting,Mobile,52261,640,0.0123,1.15,0.0187,11,736.0,915.01,87.0,179.01
2025-07,Retargeting,Mobile,37103,573,0.0155,1.66,0.0318,18,951.18,1383.57,73.07,432.39
2025-07,Creator/UGC,Mobile,68320,769,0.0113,1.33,0.0195,14,1022.77,1194.84,86.56,172.07
2025-07,Affiliates,Mobile,34296,422,0.0123,0.51,0.0207,8,215.22,456.38,57.15,241.16
2025-07,Brand Search,Desktop,27200,906,0.0333,1.38,0.0262,23,1250.28,1971.52,90.74,721.24
2025-07,Non-Brand Search,Mobile,18123,358,0.0198,1.27,0.0072,2,454.66,180.46,86.93,-274.2
2025-07,Prospecting,Mobile,44687,755,0.0169,1.06,0.0171,12,800.3,1584.46,126.3,784.16
2025-07,Retargeting,Desktop,23702,493,0.0208,1.47,0.021,10,724.71,872.36,81.72,147.65
2025-07,Creator/UGC,Mobile,62413,1638,0.0263,1.35,0.0202,33,2211.3,2554.49,72.87,343.19
2025-07,Affiliates,Mobile,44874,1102,0.0246,0.35,0.0184,20,385.7,1807.55,93.96,1421.85
2025-07,Brand Search,Desktop,32822,1181,0.036,1.29,0.025,29,1523.49,3541.37,111.3,2017.88
2025-07,Non-Brand Search,Mobile,38151,467,0.0123,1.37,0.0138,6,639.79,605.67,99.84,-34.12
2025-07,Prospecting,Mobile,44669,738,0.0165,1.7,0.0249,18,1254.6,1543.31,85.81,288.71
2025-07,Retargeting,Mobile,39985,984,0.0246,0.94,0.0214,21,924.96,1500.74,69.43,575.78
2025-07,Creator/UGC,Mobile,74168,1727,0.0233,1.02,0.018,31,1761.54,2439.79,79.6,678.25
2025-07,Affiliates,Mobile,27976,975,0.0349,1.08,0.0222,21,1053.0,1866.87,86.89,813.87
2025-07,Brand Search,Mobile,24351,1026,0.0422,1.59,0.0219,22,1631.34,1922.65,93.37,291.31
2025-07,Non-Brand Search,Desktop,37809,534,0.0141,1.25,0.0136,7,667.5,548.5,73.49,-119.0
2025-07,Prospecting,Mobile,53025,488,0.0092,1.21,0.0253,12,590.48,936.11,83.09,345.63
2025-07,Retargeting,Mobile,39871,1174,0.0295,1.41,0.0262,30,1655.34,2784.24,88.83,1128.9
2025-07,Creator/UGC,Mobile,45914,934,0.0204,1.33,0.0215,20,1242.22,963.73,56.69,-278.49
2025-07,Affiliates,Mobile,20533,433,0.0211,0.47,0.0039,1,203.51,88.67,98.85,-114.84
2025-07,Brand Search,Mobile,40504,1347,0.0333,1.78,0.0346,46,2397.66,2694.56,57.64,296.9
2025-07,Non-Brand Search,Mobile,28987,612,0.0211,1.44,0.0156,9,881.28,981.01,101.14,99.73
2025-07,Prospecting,Desktop,61257,831,0.0136,1.04,0.0203,16,864.24,1469.87,88.72,605.63
2025-07,Retargeting,Desktop,22452,338,0.0151,1.57,0.0251,8,530.66,476.44,67.63,-54.22
2025-07,Creator/UGC,Mobile,57181,1096,0.0192,1.39,0.0141,15,1523.44,1354.06,89.04,-169.38
2025-07,Affiliates,Mobile,36239,286,0.0079,0.35,0.0086,2,100.1,163.03,95.9,62.93
2025-07,Brand Search,Mobile,36142,1137,0.0315,1.52,0.0324,36,1728.24,3374.53,89.55,1646.29
2025-07,Non-Brand Search,Desktop,30516,469,0.0154,1.57,0.0122,5,736.33,435.37,87.65,-300.96
2025-07,Prospecting,Desktop,54163,1131,0.0209,1.11,0.0212,23,1255.41,1529.76,68.01,274.35
2025-07,Retargeting,Desktop,33213,831,0.025,1.47,0.036,29,1221.57,2372.45,77.18,1150.88
2025-07,Creator/UGC,Mobile,50950,1093,0.0215,1.33,0.0157,17,1453.69,1287.07,71.5,-166.62
2025-07,Affiliates,Mobile,32433,308,0.0095,0.74,0.0234,7,227.92,526.9,75.91,298.98
2025-07,Brand Search,Mobile,30237,1357,0.0449,1.59,0.0336,45,2157.63,3252.42,71.16,1094.79
2025-07,Non-Brand Search,Mobile,40517,536,0.0132,0.86,0.0198,10,460.96,826.6,84.72,365.64
2025-07,Prospecting,Mobile,47778,681,0.0143,1.07,0.0181,12,728.67,1220.18,101.01,491.51
2025-07,Retargeting,Mobile,36555,564,0.0154,1.49,0.0301,16,840.36,1003.04,59.86,162.68
2025-07,Creator/UGC,Mobile,56633,835,0.0147,1.44,0.0172,14,1202.4,1104.5,79.52,-97.9
2025-07,Affiliates,Mobile,26649,486,0.0183,0.74,0.0242,11,359.64,801.18,69.5,441.54
2025-07,Brand Search,Mobile,43698,1983,0.0454,1.6,0.0331,65,3172.8,5240.47,82.05,2067.67
